query_id,cost_ratio,detour_m,diverge_lat,diverge_lon,progress_fraction,straight_line_km
972,1.004474,41.880000,37.801513,-122.438023,0.002242,7.571416
973,1.012403,99.580000,37.749159,-122.416213,0.523546,6.808047
974,1.008035,109.550000,37.798750,-122.444324,0.080439,8.094739
975,1.012067,38.140000,37.739768,-122.466903,0.257576,2.861709
977,1.012702,75.840000,37.757019,-122.420354,0.011152,4.999220
978,1.009233,35.030000,37.737786,-122.428249,0.265306,3.257169
979,1.003677,25.620000,37.765973,-122.464229,0.329004,6.260782
980,1.000261,3.420000,37.734823,-122.471563,0.756173,11.644565
981,1.031235,100.420000,37.746650,-122.463724,0.800000,2.593575
982,1.000583,3.100000,37.748080,-122.489071,0.861004,3.826538
983,1.007239,93.520000,37.761868,-122.446837,0.693662,10.122873
984,1.025371,186.350000,37.729834,-122.453996,0.088949,5.897963
985,1.004538,37.100000,37.726974,-122.416340,0.610294,6.344885
986,1.013797,110.250000,37.733604,-122.434138,0.198142,6.505818
989,1.005924,50.610000,37.786918,-122.459440,0.228956,6.568924
991,1.011268,137.870000,37.705154,-122.470771,0.012048,10.899491
992,1.048128,243.170000,37.725781,-122.463533,0.091241,4.072488
