rank,node_id,betweenness,lat,lon,pct_of_total
438,60903,3716.201000,40.777698,-73.959144,0.020273
439,18553,3716.105000,40.778272,-73.958724,0.020272
440,61319,3715.997000,40.778219,-73.958763,0.020272
441,60898,3715.131000,40.778331,-73.958680,0.020267
442,60901,3714.927000,40.778855,-73.958298,0.020266
443,18562,3705.355000,40.779535,-73.957801,0.020214
444,60894,3698.947000,40.778964,-73.958219,0.020179
445,60892,3698.711000,40.779340,-73.957950,0.020177
446,49405,3698.513000,40.779484,-73.957840,0.020176
447,49408,3697.341000,40.779597,-73.957755,0.020170
448,60841,3697.111000,40.780018,-73.957455,0.020169
449,44099,3696.881000,40.780127,-73.957372,0.020167
450,18576,3686.206000,40.786603,-73.952669,0.020109
451,1417,3674.122000,40.752379,-73.970341,0.020043
452,44578,3673.872000,40.752496,-73.970256,0.020042
453,62033,3673.570000,40.752435,-73.970300,0.020040
454,2734,3672.982000,40.751122,-73.971263,0.020037
455,1168,3672.572000,40.797101,-73.949078,0.020035
456,2735,3669.976000,40.751748,-73.970804,0.020021
457,73786,3669.966000,40.751070,-73.971300,0.020020
458,2733,3669.806000,40.750502,-73.971707,0.020020
459,27793,3669.656000,40.750801,-73.971493,0.020019
460,52920,3669.346000,40.750677,-73.971582,0.020017
461,62035,3669.162000,40.752315,-73.970388,0.020016
462,24396,3669.036000,40.750556,-73.971667,0.020015
463,73788,3668.852000,40.751807,-73.970760,0.020014
464,3212,3668.126000,40.797484,-73.948803,0.020010
465,73790,3667.726000,40.751699,-73.970840,0.020008
466,27794,3667.410000,40.751327,-73.971110,0.020007
467,73784,3667.096000,40.751184,-73.971217,0.020005
468,2732,3666.590000,40.749833,-73.972200,0.020002
469,1249,3663.417000,40.810074,-73.953045,0.019985
470,37919,3661.282000,40.797147,-73.949044,0.019973
471,42745,3660.968000,40.797432,-73.948840,0.019971
472,20975,3660.831000,40.803184,-73.952444,0.019971
473,24395,3660.556000,40.750441,-73.971751,0.019969
474,27792,3660.246000,40.750210,-73.971923,0.019967
475,18568,3660.216000,40.787280,-73.952184,0.019967
476,67976,3659.938000,40.749972,-73.972098,0.019966
477,44640,3659.632000,40.749927,-73.972131,0.019964
